[2024-12-28T11:41:40Z INFO  flsignal] Started listening on port 8765
[2024-12-28T11:42:09Z INFO  flmodules::network::signal] Registration of node-id b46f98505e0681e9: node-10
[2024-12-28T11:42:09Z INFO  flmodules::network::signal] Registration of node-id 4eb8ef15a7bc74b3: node-11
[2024-12-28T11:42:09Z INFO  flmodules::network::signal] Registration of node-id e621fe509d4c0c19: node-6
[2024-12-28T11:42:09Z INFO  flmodules::network::signal] Registration of node-id 79441a0ee8f6bcea: node-9
[2024-12-28T11:42:09Z INFO  flmodules::network::signal] Registration of node-id 6f80fb218609a068: node-8
[2024-12-28T11:42:09Z INFO  flmodules::network::signal] Registration of node-id c6f78ca892b8d7fb: node-14
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id d52bd93a7aa8947b: node-2
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id 4a1a403b9923a7fd: node-3
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id 9ce1a3f8b6486f8e: node-7
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id 158dc04fa067117f: node-13
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id 0797ab11e57d3d2d: node-1
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id 8eb8d0aa0ba22e08: node-0
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id 5108c092418f962a: node-4
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id dae6f499486d22e2: node-5
[2024-12-28T11:42:10Z INFO  flmodules::network::signal] Registration of node-id ef5c2fc500933d31: node-12
